,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
431,S66184821,Mallard,Anas platyrhynchos,3/24/2020,6:09 PM,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
676,S66184821,White-winged Dove,Zenaida asiatica,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
828,S66184821,Mourning Dove,Zenaida macroura,3/24/2020,6:09 PM,3,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1050,S66184821,Killdeer,Charadrius vociferus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1733,S66184821,Cooper's Hawk,Accipiter cooperii,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1996,S66184821,Yellow-bellied Sapsucker,Sphyrapicus varius,3/24/2020,6:09 PM,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2134,S66184821,Red-bellied Woodpecker,Melanerpes carolinus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2240,S66184821,Downy Woodpecker,Dryobates pubescens,3/24/2020,6:09 PM,3,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2358,S66184821,Northern Flicker,Colaptes auratus,3/24/2020,6:09 PM,4,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2984,S66184821,Blue Jay,Cyanocitta cristata,3/24/2020,6:09 PM,8,58,US-OK,36.1431952,-95.9334761,3154,3,2020
3092,S66184821,American Crow,Corvus brachyrhynchos,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
3905,S66184821,Carolina Wren,Thryothorus ludovicianus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4032,S66184821,European Starling,Sturnus vulgaris,3/24/2020,6:09 PM,32,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4167,S66184821,Brown Thrasher,Toxostoma rufum,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4221,S66184821,Northern Mockingbird,Mimus polyglottos,3/24/2020,6:09 PM,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4503,S66184821,American Robin,Turdus migratorius,3/24/2020,6:09 PM,29,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4548,S66184821,Cedar Waxwing,Bombycilla cedrorum,3/24/2020,6:09 PM,18,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4603,S66184821,House Sparrow,Passer domesticus,3/24/2020,6:09 PM,15,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4697,S66184821,House Finch,Haemorhous mexicanus,3/24/2020,6:09 PM,15,58,US-OK,36.1431952,-95.9334761,3154,3,2020
5036,S66184821,Dark-eyed Junco,Junco hyemalis,3/24/2020,6:09 PM,5,58,US-OK,36.1431952,-95.9334761,3154,3,2020
5553,S66184821,Red-winged Blackbird,Agelaius phoeniceus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
5724,S66184821,Common Grackle,Quiscalus quiscula,3/24/2020,6:09 PM,3000,58,US-OK,36.1431952,-95.9334761,3154,3,2020
6481,S66184821,Northern Cardinal,Cardinalis cardinalis,3/24/2020,6:09 PM,8,58,US-OK,36.1431952,-95.9334761,3154,3,2020
677,S66295846,White-winged Dove,Zenaida asiatica,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
829,S66295846,Mourning Dove,Zenaida macroura,3/27/2020,6:53 PM,2,8,US-OK,36.1431952,-95.9334761,887,3,2020
2985,S66295846,Blue Jay,Cyanocitta cristata,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
4033,S66295846,European Starling,Sturnus vulgaris,3/27/2020,6:53 PM,25,8,US-OK,36.1431952,-95.9334761,887,3,2020
4222,S66295846,Northern Mockingbird,Mimus polyglottos,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
4504,S66295846,American Robin,Turdus migratorius,3/27/2020,6:53 PM,2,8,US-OK,36.1431952,-95.9334761,887,3,2020
4549,S66295846,Cedar Waxwing,Bombycilla cedrorum,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
4698,S66295846,House Finch,Haemorhous mexicanus,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
5622,S66295846,Brown-headed Cowbird,Molothrus ater,3/27/2020,6:53 PM,2,8,US-OK,36.1431952,-95.9334761,887,3,2020
5725,S66295846,Common Grackle,Quiscalus quiscula,3/27/2020,6:53 PM,850,8,US-OK,36.1431952,-95.9334761,887,3,2020
6482,S66295846,Northern Cardinal,Cardinalis cardinalis,3/27/2020,6:53 PM,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
145,S64885094,Canada Goose,Branta canadensis,2/22/2020,11:10 AM,10,8,US-OK,35.9384235,-95.2776295,707,2,2020
613,S64885094,Pied-billed Grebe,Podilymbus podiceps,2/22/2020,11:10 AM,1,8,US-OK,35.9384235,-95.2776295,707,2,2020
1149,S64885094,Bonaparte's Gull,Chroicocephalus philadelphia,2/22/2020,11:10 AM,4,8,US-OK,35.9384235,-95.2776295,707,2,2020
1198,S64885094,Ring-billed Gull,Larus delawarensis,2/22/2020,11:10 AM,120,8,US-OK,35.9384235,-95.2776295,707,2,2020
1205,S64885094,Herring Gull,Larus argentatus,2/22/2020,11:10 AM,4,8,US-OK,35.9384235,-95.2776295,707,2,2020
1214,S64885094,Forster's Tern,Sterna forsteri,2/22/2020,11:10 AM,12,8,US-OK,35.9384235,-95.2776295,707,2,2020
1259,S64885094,Double-crested Cormorant,Nannopterum auritum,2/22/2020,11:10 AM,400,8,US-OK,35.9384235,-95.2776295,707,2,2020
1280,S64885094,American White Pelican,Pelecanus erythrorhynchos,2/22/2020,11:10 AM,110,8,US-OK,35.9384235,-95.2776295,707,2,2020
1582,S64885094,Black Vulture,Coragyps atratus,2/22/2020,11:10 AM,10,8,US-OK,35.9384235,-95.2776295,707,2,2020
1650,S64885094,Turkey Vulture,Cathartes aura,2/22/2020,11:10 AM,9,8,US-OK,35.9384235,-95.2776295,707,2,2020
4615,S64885094,House Sparrow,Passer domesticus,2/22/2020,11:10 AM,7,8,US-OK,35.9384235,-95.2776295,707,2,2020
5563,S64885094,Red-winged Blackbird,Agelaius phoeniceus,2/22/2020,11:10 AM,20,8,US-OK,35.9384235,-95.2776295,707,2,2020
14,S82037948,Snow Goose,Anser caerulescens,2/20/2021,5:15 PM,26,4,US-OK,35.9664503,-95.4937384,696,2,2021
19,S82037948,Greater White-fronted Goose,Anser albifrons,2/20/2021,5:15 PM,150,4,US-OK,35.9664503,-95.4937384,696,2,2021
22,S82037948,Cackling Goose,Branta hutchinsii,2/20/2021,5:15 PM,40,4,US-OK,35.9664503,-95.4937384,696,2,2021
147,S82037948,Canada Goose,Branta canadensis,2/20/2021,5:15 PM,200,4,US-OK,35.9664503,-95.4937384,696,2,2021
297,S82037948,Gadwall,Mareca strepera,2/20/2021,5:15 PM,15,4,US-OK,35.9664503,-95.4937384,696,2,2021
444,S82037948,Mallard,Anas platyrhynchos,2/20/2021,5:15 PM,250,4,US-OK,35.9664503,-95.4937384,696,2,2021
454,S82037948,Northern Pintail,Anas acuta,2/20/2021,5:15 PM,12,4,US-OK,35.9664503,-95.4937384,696,2,2021
3347,S82037948,Horned Lark,Eremophila alpestris,2/20/2021,5:15 PM,3,4,US-OK,35.9664503,-95.4937384,696,2,2021
261,S64885077,Northern Shoveler,Spatula clypeata,2/22/2020,2:52 PM,6,56,US-OK,35.813121,-95.405804,658,2,2020
296,S64885077,Gadwall,Mareca strepera,2/22/2020,2:52 PM,4,56,US-OK,35.813121,-95.405804,658,2,2020
442,S64885077,Mallard,Anas platyrhynchos,2/22/2020,2:52 PM,100,56,US-OK,35.813121,-95.405804,658,2,2020
453,S64885077,Northern Pintail,Anas acuta,2/22/2020,2:52 PM,200,56,US-OK,35.813121,-95.405804,658,2,2020
465,S64885077,Green-winged Teal,Anas crecca,2/22/2020,2:52 PM,200,56,US-OK,35.813121,-95.405804,658,2,2020
652,S64885077,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2/22/2020,2:52 PM,9,56,US-OK,35.813121,-95.405804,658,2,2020
845,S64885077,Mourning Dove,Zenaida macroura,2/22/2020,2:52 PM,60,56,US-OK,35.813121,-95.405804,658,2,2020
1058,S64885077,Killdeer,Charadrius vociferus,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
1196,S64885077,Ring-billed Gull,Larus delawarensis,2/22/2020,2:52 PM,7,56,US-OK,35.813121,-95.405804,658,2,2020
1257,S64885077,Double-crested Cormorant,Nannopterum auritum,2/22/2020,2:52 PM,6,56,US-OK,35.813121,-95.405804,658,2,2020
1391,S64885077,Great Blue Heron,Ardea herodias,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
1693,S64885077,Northern Harrier,Circus hudsonius,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
1763,S64885077,Bald Eagle,Haliaeetus leucocephalus,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
1796,S64885077,Red-shouldered Hawk,Buteo lineatus,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
1882,S64885077,Red-tailed Hawk,Buteo jamaicensis,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
2833,S64885077,Loggerhead Shrike,Lanius ludovicianus,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
3002,S64885077,Blue Jay,Cyanocitta cristata,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
3101,S64885077,American Crow,Corvus brachyrhynchos,2/22/2020,2:52 PM,3,56,US-OK,35.813121,-95.405804,658,2,2020
3224,S64885077,Carolina Chickadee,Poecile carolinensis,2/22/2020,2:52 PM,5,56,US-OK,35.813121,-95.405804,658,2,2020
3334,S64885077,Tufted Titmouse,Baeolophus bicolor,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
3346,S64885077,Horned Lark,Eremophila alpestris,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
3571,S64885077,Ruby-crowned Kinglet,Corthylio calendula,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
3916,S64885077,Carolina Wren,Thryothorus ludovicianus,2/22/2020,2:52 PM,3,56,US-OK,35.813121,-95.405804,658,2,2020
4171,S64885077,Brown Thrasher,Toxostoma rufum,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
4352,S64885077,Hermit Thrush,Catharus guttatus,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
5064,S64885077,White-crowned Sparrow,Zonotrichia leucophrys,2/22/2020,2:52 PM,7,56,US-OK,35.813121,-95.405804,658,2,2020
5185,S64885077,White-throated Sparrow,Zonotrichia albicollis,2/22/2020,2:52 PM,5,56,US-OK,35.813121,-95.405804,658,2,2020
5205,S64885077,Savannah Sparrow,Passerculus sandwichensis,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
5306,S64885077,Song Sparrow,Melospiza melodia,2/22/2020,2:52 PM,4,56,US-OK,35.813121,-95.405804,658,2,2020
5319,S64885077,Lincoln's Sparrow,Melospiza lincolnii,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
5347,S64885077,Swamp Sparrow,Melospiza georgiana,2/22/2020,2:52 PM,1,56,US-OK,35.813121,-95.405804,658,2,2020
5423,S64885077,Eastern Meadowlark,Sturnella magna,2/22/2020,2:52 PM,15,56,US-OK,35.813121,-95.405804,658,2,2020
5561,S64885077,Red-winged Blackbird,Agelaius phoeniceus,2/22/2020,2:52 PM,2,56,US-OK,35.813121,-95.405804,658,2,2020
138,S99973704,Canada Goose,Branta canadensis,1/2/2022,4:08 PM,32,25,US-OK,36.215678,-95.933325,582,1,2022
260,S99973704,Northern Shoveler,Spatula clypeata,1/2/2022,4:08 PM,25,25,US-OK,36.215678,-95.933325,582,1,2022
293,S99973704,Gadwall,Mareca strepera,1/2/2022,4:08 PM,6,25,US-OK,36.215678,-95.933325,582,1,2022
305,S99973704,American Wigeon,Mareca americana,1/2/2022,4:08 PM,4,25,US-OK,36.215678,-95.933325,582,1,2022
438,S99973704,Mallard,Anas platyrhynchos,1/2/2022,4:08 PM,20,25,US-OK,36.215678,-95.933325,582,1,2022
464,S99973704,Green-winged Teal,Anas crecca,1/2/2022,4:08 PM,10,25,US-OK,36.215678,-95.933325,582,1,2022
490,S99973704,Lesser Scaup,Aythya affinis,1/2/2022,4:08 PM,15,25,US-OK,36.215678,-95.933325,582,1,2022
502,S99973704,Bufflehead,Bucephala albeola,1/2/2022,4:08 PM,8,25,US-OK,36.215678,-95.933325,582,1,2022
512,S99973704,Common Goldeneye,Bucephala clangula,1/2/2022,4:08 PM,1,25,US-OK,36.215678,-95.933325,582,1,2022
532,S99973704,Red-breasted Merganser,Mergus serrator,1/2/2022,4:08 PM,3,25,US-OK,36.215678,-95.933325,582,1,2022
610,S99973704,Pied-billed Grebe,Podilymbus podiceps,1/2/2022,4:08 PM,1,25,US-OK,36.215678,-95.933325,582,1,2022
1057,S99973704,Killdeer,Charadrius vociferus,1/2/2022,4:08 PM,35,25,US-OK,36.215678,-95.933325,582,1,2022
1078,S99973704,Least Sandpiper,Calidris minutilla,1/2/2022,4:08 PM,15,25,US-OK,36.215678,-95.933325,582,1,2022
1190,S99973704,Ring-billed Gull,Larus delawarensis,1/2/2022,4:08 PM,400,25,US-OK,36.215678,-95.933325,582,1,2022
1275,S99973704,American White Pelican,Pelecanus erythrorhynchos,1/2/2022,4:08 PM,3,25,US-OK,36.215678,-95.933325,582,1,2022
1385,S99973704,Great Blue Heron,Ardea herodias,1/2/2022,4:08 PM,1,25,US-OK,36.215678,-95.933325,582,1,2022
2997,S99973704,Blue Jay,Cyanocitta cristata,1/2/2022,4:08 PM,2,25,US-OK,36.215678,-95.933325,582,1,2022
6499,S99973704,Northern Cardinal,Cardinalis cardinalis,1/2/2022,4:08 PM,1,25,US-OK,36.215678,-95.933325,582,1,2022
30,S36840514,Canada Goose,Branta canadensis,5/13/2017,10:40 AM,30,275,US-MO,38.8636,-92.4504,515,5,2017
155,S36840514,Wood Duck,Aix sponsa,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
221,S36840514,Blue-winged Teal,Spatula discors,5/13/2017,10:40 AM,20,275,US-MO,38.8636,-92.4504,515,5,2017
624,S36840514,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
686,S36840514,Mourning Dove,Zenaida macroura,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
849,S36840514,Yellow-billed Cuckoo,Coccyzus americanus,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
974,S36840514,Sora,Porzana carolina,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
981,S36840514,American Coot,Fulica americana,5/13/2017,10:40 AM,18,275,US-MO,38.8636,-92.4504,515,5,2017
1016,S36840514,Killdeer,Charadrius vociferus,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
1069,S36840514,Dunlin,Calidris alpina,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
1071,S36840514,Baird's Sandpiper,Calidris bairdii,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1081,S36840514,Pectoral Sandpiper,Calidris melanotos,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
1100,S36840514,Spotted Sandpiper,Actitis macularius,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
1122,S36840514,Greater Yellowlegs,Tringa melanoleuca,5/13/2017,10:40 AM,10,275,US-MO,38.8636,-92.4504,515,5,2017
1129,S36840514,Willet,Tringa semipalmata,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1140,S36840514,Greater/Lesser Yellowlegs,Tringa melanoleuca/flavipes,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1211,S36840514,Forster's Tern,Sterna forsteri,5/13/2017,10:40 AM,15,275,US-MO,38.8636,-92.4504,515,5,2017
1289,S36840514,American Bittern,Botaurus lentiginosus,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1301,S36840514,Great Blue Heron,Ardea herodias,5/13/2017,10:40 AM,20,275,US-MO,38.8636,-92.4504,515,5,2017
1398,S36840514,Great Egret,Ardea alba,5/13/2017,10:40 AM,6,275,US-MO,38.8636,-92.4504,515,5,2017
1470,S36840514,Little Blue Heron,Egretta caerulea,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1500,S36840514,Green Heron,Butorides virescens,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
1517,S36840514,Black-crowned Night-Heron,Nycticorax nycticorax,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1590,S36840514,Turkey Vulture,Cathartes aura,5/13/2017,10:40 AM,20,275,US-MO,38.8636,-92.4504,515,5,2017
1673,S36840514,Mississippi Kite,Ictinia mississippiensis,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1739,S36840514,Bald Eagle,Haliaeetus leucocephalus,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
1813,S36840514,Red-tailed Hawk,Buteo jamaicensis,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
1933,S36840514,Belted Kingfisher,Megaceryle alcyon,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
2001,S36840514,Red-headed Woodpecker,Melanerpes erythrocephalus,5/13/2017,10:40 AM,8,275,US-MO,38.8636,-92.4504,515,5,2017
2042,S36840514,Red-bellied Woodpecker,Melanerpes carolinus,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
2283,S36840514,Northern Flicker,Colaptes auratus,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
2367,S36840514,American Kestrel,Falco sparverius,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
2415,S36840514,Eastern Wood-Pewee,Contopus virens,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
2575,S36840514,Great Crested Flycatcher,Myiarchus crinitus,5/13/2017,10:40 AM,10,275,US-MO,38.8636,-92.4504,515,5,2017
2631,S36840514,Eastern Kingbird,Tyrannus tyrannus,5/13/2017,10:40 AM,20,275,US-MO,38.8636,-92.4504,515,5,2017
2710,S36840514,Bell's Vireo,Vireo bellii,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
2742,S36840514,Warbling Vireo,Vireo gilvus,5/13/2017,10:40 AM,15,275,US-MO,38.8636,-92.4504,515,5,2017
2847,S36840514,Blue Jay,Cyanocitta cristata,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
3026,S36840514,American Crow,Corvus brachyrhynchos,5/13/2017,10:40 AM,8,275,US-MO,38.8636,-92.4504,515,5,2017
3106,S36840514,Fish Crow,Corvus ossifragus,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
3235,S36840514,Black-capped Chickadee,Poecile atricapillus,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
3249,S36840514,Tufted Titmouse,Baeolophus bicolor,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
3341,S36840514,Horned Lark,Eremophila alpestris,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
3348,S36840514,Northern Rough-winged Swallow,Stelgidopteryx serripennis,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
3409,S36840514,Tree Swallow,Tachycineta bicolor,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
3437,S36840514,Bank Swallow,Riparia riparia,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
3445,S36840514,Barn Swallow,Hirundo rustica,5/13/2017,10:40 AM,6,275,US-MO,38.8636,-92.4504,515,5,2017
3692,S36840514,Blue-gray Gnatcatcher,Polioptila caerulea,5/13/2017,10:40 AM,8,275,US-MO,38.8636,-92.4504,515,5,2017
3819,S36840514,Marsh Wren,Cistothorus palustris,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
3827,S36840514,Carolina Wren,Thryothorus ludovicianus,5/13/2017,10:40 AM,3,275,US-MO,38.8636,-92.4504,515,5,2017
4123,S36840514,Brown Thrasher,Toxostoma rufum,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
4241,S36840514,Eastern Bluebird,Sialia sialis,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
4526,S36840514,Cedar Waxwing,Bombycilla cedrorum,5/13/2017,10:40 AM,6,275,US-MO,38.8636,-92.4504,515,5,2017
4725,S36840514,American Goldfinch,Spinus tristis,5/13/2017,10:40 AM,12,275,US-MO,38.8636,-92.4504,515,5,2017
4896,S36840514,Field Sparrow,Spizella pusilla,5/13/2017,10:40 AM,6,275,US-MO,38.8636,-92.4504,515,5,2017
4922,S36840514,Lark Sparrow,Chondestes grammacus,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
5046,S36840514,White-crowned Sparrow,Zonotrichia leucophrys,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
5213,S36840514,Song Sparrow,Melospiza melodia,5/13/2017,10:40 AM,5,275,US-MO,38.8636,-92.4504,515,5,2017
5429,S36840514,Orchard Oriole,Icterus spurius,5/13/2017,10:40 AM,15,275,US-MO,38.8636,-92.4504,515,5,2017
5448,S36840514,Baltimore Oriole,Icterus galbula,5/13/2017,10:40 AM,4,275,US-MO,38.8636,-92.4504,515,5,2017
5480,S36840514,Red-winged Blackbird,Agelaius phoeniceus,5/13/2017,10:40 AM,75,275,US-MO,38.8636,-92.4504,515,5,2017
5566,S36840514,Brown-headed Cowbird,Molothrus ater,5/13/2017,10:40 AM,15,275,US-MO,38.8636,-92.4504,515,5,2017
5648,S36840514,Common Grackle,Quiscalus quiscula,5/13/2017,10:40 AM,10,275,US-MO,38.8636,-92.4504,515,5,2017
5811,S36840514,Prothonotary Warbler,Protonotaria citrea,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
5903,S36840514,Common Yellowthroat,Geothlypis trichas,5/13/2017,10:40 AM,30,275,US-MO,38.8636,-92.4504,515,5,2017
5980,S36840514,Northern Parula,Setophaga americana,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
6047,S36840514,Yellow Warbler,Setophaga petechia,5/13/2017,10:40 AM,5,275,US-MO,38.8636,-92.4504,515,5,2017
6146,S36840514,Yellow-rumped Warbler,Setophaga coronata,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
6275,S36840514,Summer Tanager,Piranga rubra,5/13/2017,10:40 AM,1,275,US-MO,38.8636,-92.4504,515,5,2017
6305,S36840514,Northern Cardinal,Cardinalis cardinalis,5/13/2017,10:40 AM,6,275,US-MO,38.8636,-92.4504,515,5,2017
6541,S36840514,Indigo Bunting,Passerina cyanea,5/13/2017,10:40 AM,22,275,US-MO,38.8636,-92.4504,515,5,2017
6590,S36840514,Dickcissel,Spiza americana,5/13/2017,10:40 AM,2,275,US-MO,38.8636,-92.4504,515,5,2017
15,S20964481,Greater White-fronted Goose,Anser albifrons,12/20/2014,9:30 AM,30,150,US-MO,38.8719313,-90.1843917,469,12,2014
45,S20964481,Canada Goose,Branta canadensis,12/20/2014,9:30 AM,45,150,US-MO,38.8719313,-90.1843917,469,12,2014
150,S20964481,Trumpeter Swan,Cygnus buccinator,12/20/2014,9:30 AM,20,150,US-MO,38.8719313,-90.1843917,469,12,2014
256,S20964481,Northern Shoveler,Spatula clypeata,12/20/2014,9:30 AM,4,150,US-MO,38.8719313,-90.1843917,469,12,2014
317,S20964481,Mallard,Anas platyrhynchos,12/20/2014,9:30 AM,25,150,US-MO,38.8719313,-90.1843917,469,12,2014
461,S20964481,Green-winged Teal,Anas crecca,12/20/2014,9:30 AM,2,150,US-MO,38.8719313,-90.1843917,469,12,2014
467,S20964481,Canvasback,Aythya valisineria,12/20/2014,9:30 AM,30,150,US-MO,38.8719313,-90.1843917,469,12,2014
472,S20964481,Redhead,Aythya americana,12/20/2014,9:30 AM,15,150,US-MO,38.8719313,-90.1843917,469,12,2014
477,S20964481,Ring-necked Duck,Aythya collaris,12/20/2014,9:30 AM,15,150,US-MO,38.8719313,-90.1843917,469,12,2014
498,S20964481,Bufflehead,Bucephala albeola,12/20/2014,9:30 AM,2,150,US-MO,38.8719313,-90.1843917,469,12,2014
508,S20964481,Common Goldeneye,Bucephala clangula,12/20/2014,9:30 AM,18,150,US-MO,38.8719313,-90.1843917,469,12,2014
517,S20964481,Hooded Merganser,Lophodytes cucullatus,12/20/2014,9:30 AM,12,150,US-MO,38.8719313,-90.1843917,469,12,2014
527,S20964481,Common Merganser,Mergus merganser,12/20/2014,9:30 AM,20,150,US-MO,38.8719313,-90.1843917,469,12,2014
623,S20964481,Western Grebe,Aechmophorus occidentalis,12/20/2014,9:30 AM,1,150,US-MO,38.8719313,-90.1843917,469,12,2014
711,S20964481,Mourning Dove,Zenaida macroura,12/20/2014,9:30 AM,4,150,US-MO,38.8719313,-90.1843917,469,12,2014
993,S20964481,American Coot (Red-shielded),Fulica americana (Red-shielded),12/20/2014,9:30 AM,2,150,US-MO,38.8719313,-90.1843917,469,12,2014
1249,S20964481,Double-crested Cormorant,Nannopterum auritum,12/20/2014,9:30 AM,2,150,US-MO,38.8719313,-90.1843917,469,12,2014
1334,S20964481,Great Blue Heron,Ardea herodias,12/20/2014,9:30 AM,2,150,US-MO,38.8719313,-90.1843917,469,12,2014
1692,S20964481,Northern Harrier,Circus hudsonius,12/20/2014,9:30 AM,1,150,US-MO,38.8719313,-90.1843917,469,12,2014
1747,S20964481,Bald Eagle,Haliaeetus leucocephalus,12/20/2014,9:30 AM,4,150,US-MO,38.8719313,-90.1843917,469,12,2014
1842,S20964481,Red-tailed Hawk,Buteo jamaicensis,12/20/2014,9:30 AM,1,150,US-MO,38.8719313,-90.1843917,469,12,2014
2380,S20964481,American Kestrel,Falco sparverius,12/20/2014,9:30 AM,4,150,US-MO,38.8719313,-90.1843917,469,12,2014
4619,S20964481,Eurasian Tree Sparrow,Passer montanus,12/20/2014,9:30 AM,110,150,US-MO,38.8719313,-90.1843917,469,12,2014
4644,S20964481,House Finch,Haemorhous mexicanus,12/20/2014,9:30 AM,30,150,US-MO,38.8719313,-90.1843917,469,12,2014
4934,S20964481,American Tree Sparrow,Spizelloides arborea,12/20/2014,9:30 AM,8,150,US-MO,38.8719313,-90.1843917,469,12,2014
5052,S20964481,White-crowned Sparrow,Zonotrichia leucophrys,12/20/2014,9:30 AM,15,150,US-MO,38.8719313,-90.1843917,469,12,2014
