,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
1676,S87540807,Mississippi Kite,Ictinia mississippiensis,5/8/2021,8:50 AM,2,185,US-OK,34.7124907,-98.6413512,30,5,2021
1790,S66797781,Red-shouldered Hawk,Buteo lineatus,4/7/2020,6:37 PM,1,32,US-OK,36.1431952,-95.9334761,30,4,2020
1812,S102586462,Red-tailed Hawk,Buteo jamaicensis,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
2041,S102586462,Red-bellied Woodpecker,Melanerpes carolinus,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
2047,S87540807,Red-bellied Woodpecker,Melanerpes carolinus,5/8/2021,8:50 AM,2,185,US-OK,34.7124907,-98.6413512,30,5,2021
2057,S89739368,Red-bellied Woodpecker,Melanerpes carolinus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2151,S102586462,Downy Woodpecker,Dryobates pubescens,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
2160,S89739368,Downy Woodpecker,Dryobates pubescens,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2241,S66797781,Downy Woodpecker,Dryobates pubescens,4/7/2020,6:37 PM,1,32,US-OK,36.1431952,-95.9334761,30,4,2020
2271,S102586462,Pileated Woodpecker,Dryocopus pileatus,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
2359,S66797781,Northern Flicker,Colaptes auratus,4/7/2020,6:37 PM,1,32,US-OK,36.1431952,-95.9334761,30,4,2020
2422,S89739368,Eastern Wood-Pewee,Contopus virens,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2454,S89739368,Acadian Flycatcher,Empidonax virescens,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2491,S87540807,Eastern Phoebe,Sayornis phoebe,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
2580,S87540807,Great Crested Flycatcher,Myiarchus crinitus,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
2672,S66797781,Scissor-tailed Flycatcher,Tyrannus forficatus,4/7/2020,6:37 PM,1,32,US-OK,36.1431952,-95.9334761,30,4,2020
2683,S87540807,Black-capped Vireo,Vireo atricapilla,5/8/2021,8:50 AM,2,185,US-OK,34.7124907,-98.6413512,30,5,2021
2688,S89739368,White-eyed Vireo,Vireo griseus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2790,S87540807,Red-eyed Vireo,Vireo olivaceus,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
2792,S89739368,Red-eyed Vireo,Vireo olivaceus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
2846,S102586462,Blue Jay,Cyanocitta cristata,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
2986,S66797781,Blue Jay,Cyanocitta cristata,4/7/2020,6:37 PM,2,32,US-OK,36.1431952,-95.9334761,30,4,2020
3025,S102586462,American Crow,Corvus brachyrhynchos,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
3030,S87540807,American Crow,Corvus brachyrhynchos,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
3237,S89739368,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,6/6/2021,11:44 AM,6,166,US-IL,38.7746894,-89.694683,30,6,2021
3262,S89739368,Tufted Titmouse,Baeolophus bicolor,6/6/2021,11:44 AM,3,166,US-IL,38.7746894,-89.694683,30,6,2021
3591,S102586462,Red-breasted Nuthatch,Sitta canadensis,2/13/2022,1:28 PM,2,44,US-AR,36.477805,-94.2451848,30,2,2022
3599,S102586462,White-breasted Nuthatch,Sitta carolinensis,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
3609,S89739368,White-breasted Nuthatch,Sitta carolinensis,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
3703,S89739368,Blue-gray Gnatcatcher,Polioptila caerulea,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
3826,S102586462,Carolina Wren,Thryothorus ludovicianus,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
3830,S87540807,Carolina Wren,Thryothorus ludovicianus,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
3841,S89739368,Carolina Wren,Thryothorus ludovicianus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
3935,S89739368,European Starling,Sturnus vulgaris,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4126,S87540807,Brown Thrasher,Toxostoma rufum,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
4181,S89739368,Northern Mockingbird,Mimus polyglottos,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4248,S89739368,Eastern Bluebird,Sialia sialis,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4357,S89739368,Wood Thrush,Hylocichla mustelina,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4384,S89739368,American Robin,Turdus migratorius,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4505,S66797781,American Robin,Turdus migratorius,4/7/2020,6:37 PM,6,32,US-OK,36.1431952,-95.9334761,30,4,2020
4550,S66797781,Cedar Waxwing,Bombycilla cedrorum,4/7/2020,6:37 PM,8,32,US-OK,36.1431952,-95.9334761,30,4,2020
4699,S66797781,House Finch,Haemorhous mexicanus,4/7/2020,6:37 PM,6,32,US-OK,36.1431952,-95.9334761,30,4,2020
4846,S87540807,Chipping Sparrow,Spizella passerina,5/8/2021,8:50 AM,4,185,US-OK,34.7124907,-98.6413512,30,5,2021
4925,S87540807,Lark Sparrow,Chondestes grammacus,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
4955,S102586462,Dark-eyed Junco,Junco hyemalis,2/13/2022,1:28 PM,15,44,US-AR,36.477805,-94.2451848,30,2,2022
5488,S89739368,Red-winged Blackbird,Agelaius phoeniceus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
5990,S89739368,Northern Parula,Setophaga americana,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
6050,S87540807,Yellow Warbler,Setophaga petechia,5/8/2021,8:50 AM,4,185,US-OK,34.7124907,-98.6413512,30,5,2021
6311,S87540807,Northern Cardinal,Cardinalis cardinalis,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
6324,S89739368,Northern Cardinal,Cardinalis cardinalis,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
6545,S89739368,Indigo Bunting,Passerina cyanea,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
6586,S87540807,Painted Bunting,Passerina ciris,5/8/2021,8:50 AM,4,185,US-OK,34.7124907,-98.6413512,30,5,2021
42,S103266888,Canada Goose,Branta canadensis,2/20/2022,2:05 PM,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
315,S103266888,Mallard,Anas platyrhynchos,2/20/2022,2:05 PM,6,65,US-OK,36.2081998,-96.0600758,29,2,2022
811,S16772002,Mourning Dove,Zenaida macroura,2/2/2014,3:30 PM,2,25,US-MO,38.5592405,-90.2424502,29,2,2014
937,S56762852,Ruby-throated Hummingbird,Archilochus colubris,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
1033,S103266888,Killdeer,Charadrius vociferus,2/20/2022,2:05 PM,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
1183,S16772002,Ring-billed Gull,Larus delawarensis,2/2/2014,3:30 PM,6,25,US-MO,38.5592405,-90.2424502,29,2,2014
1577,S103266888,Black Vulture,Coragyps atratus,2/20/2022,2:05 PM,3,65,US-OK,36.2081998,-96.0600758,29,2,2022
1617,S56762852,Turkey Vulture,Cathartes aura,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
1989,S35453430,Yellow-bellied Sapsucker,Sphyrapicus varius,3/26/2017,4:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
2120,S35453430,Red-bellied Woodpecker,Melanerpes carolinus,3/26/2017,4:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
2291,S103266888,Northern Flicker,Colaptes auratus,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
2424,S56762852,Eastern Wood-Pewee,Contopus virens,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
2549,S35453430,Eastern Phoebe,Sayornis phoebe,3/26/2017,4:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
2585,S56762852,Great Crested Flycatcher,Myiarchus crinitus,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
2722,S56762852,Yellow-throated Vireo,Vireo flavifrons,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
2794,S56762852,Red-eyed Vireo,Vireo olivaceus,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
2962,S35453430,Blue Jay,Cyanocitta cristata,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
3048,S103266888,American Crow,Corvus brachyrhynchos,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
3089,S16772002,American Crow,Corvus brachyrhynchos,2/2/2014,3:30 PM,2,25,US-MO,38.5592405,-90.2424502,29,2,2014
3142,S56762852,Carolina Chickadee,Poecile carolinensis,5/25/2019,11:55 AM,3,116,US-OK,36.182195,-96.2300591,29,5,2019
3205,S35453430,Carolina Chickadee,Poecile carolinensis,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
3266,S56762852,Tufted Titmouse,Baeolophus bicolor,5/25/2019,11:55 AM,8,116,US-OK,36.182195,-96.2300591,29,5,2019
3320,S35453430,Tufted Titmouse,Baeolophus bicolor,3/26/2017,4:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
3556,S35453430,Ruby-crowned Kinglet,Corthylio calendula,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
3585,S35453430,Golden-crowned Kinglet,Regulus satrapa,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
3611,S56762852,White-breasted Nuthatch,Sitta carolinensis,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
3685,S35453430,Brown Creeper,Certhia americana,3/26/2017,4:06 PM,3,86,US-MO,38.6129807,-90.2593803,29,3,2017
3710,S56762852,Blue-gray Gnatcatcher,Polioptila caerulea,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
3844,S56762852,Carolina Wren,Thryothorus ludovicianus,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
4016,S16772002,European Starling,Sturnus vulgaris,2/2/2014,3:30 PM,18,25,US-MO,38.5592405,-90.2424502,29,2,2014
4817,S35453430,American Goldfinch,Spinus tristis,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
4932,S103266888,American Tree Sparrow,Spizelloides arborea,2/20/2022,2:05 PM,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
4966,S103266888,Dark-eyed Junco,Junco hyemalis,2/20/2022,2:05 PM,5,65,US-OK,36.2081998,-96.0600758,29,2,2022
5022,S35453430,Dark-eyed Junco,Junco hyemalis,3/26/2017,4:06 PM,7,86,US-MO,38.6129807,-90.2593803,29,3,2017
5067,S103266888,Harris's Sparrow,Zonotrichia querula,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
5083,S103266888,White-throated Sparrow,Zonotrichia albicollis,2/20/2022,2:05 PM,3,65,US-OK,36.2081998,-96.0600758,29,2,2022
5154,S35453430,White-throated Sparrow,Zonotrichia albicollis,3/26/2017,4:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
5222,S103266888,Song Sparrow,Melospiza melodia,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
5295,S35453430,Song Sparrow,Melospiza melodia,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
5369,S103266888,Eastern Towhee,Pipilo erythrophthalmus,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
5793,S56762852,Black-and-white Warbler,Mniotilta varia,5/25/2019,11:55 AM,4,116,US-OK,36.182195,-96.2300591,29,5,2019
6279,S56762852,Summer Tanager,Piranga rubra,5/25/2019,11:55 AM,3,116,US-OK,36.182195,-96.2300591,29,5,2019
6331,S56762852,Northern Cardinal,Cardinalis cardinalis,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
6336,S103266888,Northern Cardinal,Cardinalis cardinalis,2/20/2022,2:05 PM,1,65,US-OK,36.2081998,-96.0600758,29,2,2022
6456,S35453430,Northern Cardinal,Cardinalis cardinalis,3/26/2017,4:06 PM,2,86,US-MO,38.6129807,-90.2593803,29,3,2017
